
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #15 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 1.25
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 288
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.4131422593e+01     NA          1.9   
Cut generation started.
0        2        0        0        NA                   3.4131422593e+01     NA          2.9   
Cut generation terminated. Time = 0.22
15       19       16       3        NA                   3.4471343063e+01     NA          4.3   
31       36       32       4        NA                   3.4699124230e+01     NA          4.8   
63       68       58       5        NA                   3.5076059877e+01     NA          5.8   
118      121      109      6        NA                   3.5915928972e+01     NA          7.1   
185      178      152      7        NA                   3.5915928972e+01     NA          8.3   
303      287      246      6        NA                   3.7580238824e+01     NA          9.2   
519      492      430      9        NA                   3.9208169216e+01     NA          10.3  
879      801      664      13       NA                   3.9375925586e+01     NA          11.8  
1527     1272     870      12       NA                   3.9375925586e+01     NA          12.8  
2391     1977     1218     14       1.2011211085e+02     3.9375925586e+01     67.22       14.7  
3543     3053     2054     26       1.1908124305e+02     3.9454550028e+01     66.87       17.7  
5559     4949     3372     28       1.1908124305e+02     3.9687977427e+01     66.67       22.0  
7839     7103     4892     15       1.1908124305e+02     3.9894809835e+01     66.50       27.2  
10107    9248     6282     38       1.1908124305e+02     4.0137524867e+01     66.29       31.9  
12413    11391    7774     58       1.1908124305e+02     4.0777070252e+01     65.76       36.8  
14850    13542    9123     75       1.1908124305e+02     4.2068384565e+01     64.67       41.7  
17170    15694    10445    21       1.1908124305e+02     4.3055235070e+01     63.84       45.7  
19490    17853    11903    87       1.1908124305e+02     4.5389883262e+01     61.88       50.9  
21815    20015    13424    60       1.1908124305e+02     4.6128145142e+01     61.26       55.6  
24193    22185    14906    48       1.1908124305e+02     4.7606170094e+01     60.02       60.2  
26563    24342    16366    58       1.1908124305e+02     4.7883288586e+01     59.79       65.7  
28944    26514    17917    42       1.1908124305e+02     4.8362542696e+01     59.39       69.5  
31255    28667    19314    51       1.1908124305e+02     4.8723797349e+01     59.08       74.7  
33610    30824    20747    34       1.1908124305e+02     4.9320802964e+01     58.58       80.7  
36004    32997    22217    49       1.1908124305e+02     4.9843221750e+01     58.14       86.0  
38400    35166    23649    69       1.1908124305e+02     5.0046235809e+01     57.97       91.5  
40824    37337    25025    27       1.1908124305e+02     5.0298169532e+01     57.76       96.1  
43191    39451    26346    40       1.1908124305e+02     5.0485633101e+01     57.60       101.7 
45635    41636    27786    37       1.1908124305e+02     5.0838391232e+01     57.31       106.7 
48112    43826    29263    37       1.1908124305e+02     5.0996747029e+01     57.17       110.6 
50571    46010    30640    27       1.1908124305e+02     5.1140295356e+01     57.05       116.8 
53002    48196    32077    68       1.1908124305e+02     5.1289595225e+01     56.93       120.9 
55425    50369    33508    32       1.1908124305e+02     5.1368019367e+01     56.86       125.9 
57826    52553    35047    26       1.1908124305e+02     5.1606250716e+01     56.66       131.2 
60279    54745    36522    35       1.1908124305e+02     5.1692945462e+01     56.59       135.1 
62701    56927    37950    25       1.1908124305e+02     5.1809975527e+01     56.49       140.2 
65134    59107    39377    49       1.1908124305e+02     5.1908429473e+01     56.41       145.3 
67536    61291    40785    32       1.1908124305e+02     5.2008571236e+01     56.33       149.6 
69920    63471    42217    29       1.1908124305e+02     5.2041408790e+01     56.30       155.4 
72332    65654    43681    57       1.1908124305e+02     5.2263311161e+01     56.11       160.2 
74706    67830    45111    37       1.1908124305e+02     5.2323193295e+01     56.06       164.6 
