
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.41
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1539041689e+02     NA          0.8   
Cut generation started.
0        2        0        0        NA                   2.1539041689e+02     NA          0.9   
0        3        0        0        NA                   2.1570147300e+02     NA          0.9   
Cut generation terminated. Time = 0.11
12       16       11       3        NA                   2.1575252521e+02     NA          1.5   
42       46       41       5        NA                   2.1579186808e+02     NA          1.7   
82       86       81       6        NA                   2.1579186808e+02     NA          1.9   
153      157      152      7        NA                   2.1579186808e+02     NA          2.3   
297      301      292      7        NA                   2.1581458891e+02     NA          2.7   
585      589      572      11       NA                   2.1581458891e+02     NA          3.2   
1089     1093     1008     17       NA                   2.1581458891e+02     NA          3.9   
2097     2097     1530     28       NA                   2.1581458891e+02     NA          4.8   
3565     3547     2322     14       NA                   2.1583457437e+02     NA          5.7   
5005     4984     3516     18       NA                   2.1589600347e+02     NA          6.7   
6586     6560     4511     12       NA                   2.1590864672e+02     NA          7.6   
8137     8105     5570     20       NA                   2.1593908750e+02     NA          8.5   
9688     9644     6589     47       NA                   2.1595678901e+02     NA          9.6   
11266    11210    7657     64       NA                   2.1595682336e+02     NA          10.6  
12874    12810    8703     39       NA                   2.1595682721e+02     NA          11.7  
14508    14425    9759     21       NA                   2.1595698396e+02     NA          13.0  
16115    16014    10750    42       NA                   2.1597580001e+02     NA          14.1  
17752    17641    11783    23       NA                   2.1601491329e+02     NA          15.3  
19307    19181    12892    38       NA                   2.1601550402e+02     NA          16.4  
20928    20779    13929    14       NA                   2.1601550493e+02     NA          17.9  
22533    22375    14896    45       NA                   2.1601747193e+02     NA          19.3  
24099    23928    15948    26       NA                   2.1601751561e+02     NA          20.3  
25720    25536    16929    11       NA                   2.1601759918e+02     NA          21.6  
27365    27168    17970    28       NA                   2.1604387282e+02     NA          22.9  
28848    28644    18945    38       NA                   2.1604390819e+02     NA          24.0  
30467    30255    19956    23       NA                   2.1604392868e+02     NA          24.9  
32050    31830    20983    34       NA                   2.1604406132e+02     NA          26.0  
33610    33385    22007    35       NA                   2.1604413970e+02     NA          26.9  
35269    35037    22984    52       NA                   2.1607455137e+02     NA          27.9  
36925    36675    24048    83       NA                   2.1607459410e+02     NA          29.0  
38577    38308    25008    90       NA                   2.1610125777e+02     NA          30.1  
40156    39881    26073    51       NA                   2.1610128978e+02     NA          31.1  
41807    41519    27056    33       NA                   2.1610140364e+02     NA          32.2  
43455    43159    28092    41       NA                   2.1610146068e+02     NA          33.3  
45134    44814    29031    55       NA                   2.1611833685e+02     NA          34.4  
46725    46395    30090    52       NA                   2.1611838571e+02     NA          35.4  
48357    48006    31062    22       NA                   2.1611937395e+02     NA          36.5  
50018    49654    32121    27       NA                   2.1612121882e+02     NA          37.4  
51706    51330    33115    40       NA                   2.1612125159e+02     NA          38.6  
53335    52938    34160    20       NA                   2.1612847226e+02     NA          39.7  
54965    54548    35190    18       NA                   2.1612914581e+02     NA          40.7  
56595    56173    36270    61       NA                   2.1612918122e+02     NA          41.6  
58132    57699    37221    78       NA                   2.1612920770e+02     NA          42.5  
59752    59306    38193    60       NA                   2.1612920770e+02     NA          43.4  
61386    60926    39215    57       NA                   2.1612958986e+02     NA          44.6  
63006    62536    40283    41       NA                   2.1612961484e+02     NA          45.6  
64661    64173    41226    49       NA                   2.1613866594e+02     NA          46.5  
66289    65787    42246    63       NA                   2.1613867919e+02     NA          47.6  
67927    67410    43248    16       NA                   2.1613871013e+02     NA          48.5  
69577    69045    44260    34       NA                   2.1613874040e+02     NA          49.5  
